model,accuracy,precision,recall,f1
Logistic Regression,0.9548777059319652,0.9555712277394476,0.9548777059319652,0.9545843542206369
Random Forest,0.9995782963171211,0.9995784315067393,0.9995782963171211,0.9995783105697575
XGBoost,0.9940961484396964,0.9940984852241328,0.9940961484396964,0.9940967583607352
